"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2854743,"March 16, 2024","New Jersey",Trenton,"Phillips Ave and Martin Luther King Jr Blvd",0,1,0,0,0,N/A
2854729,"March 16, 2024",California,"San Marcos","San Elijo Rd and Questhaven Rd",0,1,0,0,0,N/A
2854735,"March 16, 2024",Michigan,"Grand Rapids","Hamilton Ave NW and Leonard St NW",0,1,0,0,0,N/A
2854717,"March 16, 2024",California,Oakland,"800 block of International Blvd",0,1,0,0,0,N/A
2854703,"March 16, 2024",Vermont,Burlington,"Main St and Church St",0,1,0,0,0,N/A
2854695,"March 16, 2024",Connecticut,Bridgeport,"2458 Main St",1,0,0,0,0,N/A
2854679,"March 16, 2024",Connecticut,"New Haven","Lancraft St and Fairmount Ave",1,0,0,0,0,N/A
2854692,"March 16, 2024",Connecticut,"East Hartford","775 Silver Ln",1,0,0,0,0,N/A
2854634,"March 16, 2024",Pennsylvania,Levittown,"Viewpoint Ln",3,0,0,0,0,N/A
2854660,"March 16, 2024",Illinois,Chicago,"2200 block of S Pulaski Rd",0,1,0,0,0,N/A
2854650,"March 16, 2024","New York",Brooklyn,"8906 Ditmas Ave",1,0,0,0,0,N/A
2854648,"March 16, 2024","New York","Corona (Queens)","71-15 Beach Channel Dr",0,1,0,0,0,N/A
2854646,"March 16, 2024","New York","Staten Island","701 Bay St",0,1,0,0,0,N/A
2854643,"March 16, 2024","New York","New York (Manhattan)","E 10th St",0,2,0,0,0,N/A
2854639,"March 16, 2024",Kansas,Wichita,"800 block of S Beverly St",0,1,0,0,0,N/A
2854626,"March 16, 2024",Illinois,Chicago,N/A,0,1,0,0,0,N/A
2854624,"March 16, 2024",Illinois,Chicago,"2300 block of W 111th St",0,1,0,0,0,N/A
2854607,"March 16, 2024",Louisiana,Lafayette,"600 block of Patterson St",1,0,0,0,0,N/A
2854542,"March 16, 2024",Indiana,Indianapolis,"808 Broad Ripple Ave",1,5,0,0,0,N/A
2854440,"March 16, 2024",Texas,Houston,"4200 block of Twelve Oaks Pl",1,0,0,0,0,N/A
2854400,"March 15, 2024","West Virginia",Philippi,"26416 US-250",1,0,0,0,0,N/A
2854281,"March 15, 2024",Tennessee,Memphis,"3500 block of Millard Rd",2,1,0,0,0,N/A
2854361,"March 15, 2024",California,"Fair Oaks","8842 Winding Way",0,0,0,1,0,N/A
2854357,"March 15, 2024",California,Fresno,"54 E California Ave",0,1,0,0,0,N/A
2854344,"March 15, 2024",California,"Los Angeles","2626 S Manhattan Pl",0,1,0,0,1,N/A
2854339,"March 15, 2024",Idaho,Caldwell,"1500 block of Missoula Way",0,1,0,0,0,N/A
2854293,"March 15, 2024",Texas,"Canyon Lake","400 block of Deer Valley St",1,0,0,0,0,N/A
2854291,"March 15, 2024",Illinois,Chicago,"50 block of E 122nd Pl",0,1,0,0,0,N/A
2854276,"March 15, 2024",Illinois,Chicago,"4600 block of W Maypole Ave",0,1,0,0,0,N/A
2854247,"March 15, 2024",Illinois,Chicago,"5000 block of S Western Ave",1,1,0,0,0,N/A
2854224,"March 15, 2024",California,"El Centro","600 block of Yucca Dr",1,0,0,0,0,N/A
2854217,"March 15, 2024",Virginia,Richmond,"2900 block of Wicklow Ln",0,1,0,0,1,N/A
2854191,"March 15, 2024",California,Antioch,"2801 Roosevelt Ln",0,0,0,0,0,N/A
2854154,"March 15, 2024",Indiana,Griffith,"600 block of Colfax St",3,0,0,0,0,N/A
2854082,"March 15, 2024",Maryland,Baltimore,"3900 block of Edmondson Ave",0,1,0,0,0,N/A
2854074,"March 15, 2024",Maryland,Baltimore,N/A,0,1,0,0,0,N/A
2854066,"March 15, 2024",Maryland,Baltimore,"1000 block of Fulton Ave",1,0,0,0,0,N/A
2854054,"March 15, 2024",Connecticut,Hartford,"1000 block of Capitol Ave",0,1,0,0,0,N/A
2854048,"March 15, 2024",Maryland,Baltimore,"2000 block of Robb St",1,0,0,0,0,N/A
2853985,"March 15, 2024",Texas,Houston,"6100 Hermann Park Dr",0,0,0,1,0,N/A
2854002,"March 15, 2024",Virginia,Annandale,"3200 block of Woodburn Rd",1,0,0,0,1,N/A
2853987,"March 15, 2024",Georgia,Rome,"Lakeridge Cir",0,1,0,0,1,N/A
2854602,"March 15, 2024",California,Oakland,"1362 102nd Ave",1,0,0,0,1,N/A
2854697,"March 15, 2024",Massachusetts,Barnstable,"280 Winter St",0,1,0,0,1,N/A
2853781,"March 15, 2024","New Mexico",Tucumcari,"I-40 and CR AY",1,0,0,0,0,N/A
2854531,"March 15, 2024",Massachusetts,Boston,"42 Dabney St",0,1,0,0,0,N/A
2853953,"March 15, 2024",Pennsylvania,"Sharon Hill","800 block of Felton Ave",0,1,0,0,0,N/A
2854686,"March 15, 2024",Wisconsin,"Fish Creek","3924 WI-42",0,0,0,0,1,N/A
2853937,"March 15, 2024",Georgia,Kennesaw,"2600 block of McGuire Dr",1,0,0,0,2,N/A
2853934,"March 15, 2024",Pennsylvania,Philadelphia,"E Huntingdon St and Kensington Ave",0,1,0,0,0,N/A
2854373,"March 15, 2024",Washington,Ellensburg,"115 W University Way",1,0,0,0,0,N/A
2853922,"March 15, 2024",Georgia,Atlanta,"3208 Martin Luther King Jr Dr SW",0,1,0,1,1,N/A
2853909,"March 15, 2024",Georgia,"Warner Robins","85 GA-247",0,3,0,0,1,N/A
2853906,"March 15, 2024",Texas,"Fort Worth","2200 block of Mc Candless St",1,0,0,0,0,N/A
2853877,"March 15, 2024",California,"Los Angeles","1467 E 22nd St",0,1,0,0,0,N/A
2854201,"March 15, 2024",Arizona,Tucson,"N Houghton Rd and E Snyder Creek Pl",1,0,0,0,1,N/A
2853858,"March 15, 2024",Texas,Beaumont,"5080 Helbig Rd",0,1,0,0,0,N/A
2853846,"March 15, 2024",Oklahoma,"Oklahoma City","728 SE 27th St",0,0,1,0,0,N/A
2854390,"March 15, 2024","New York","New York (Manhattan)","2026 7th Avenue",0,2,0,0,0,N/A
2853808,"March 15, 2024",Florida,"Fort Lauderdale (Davie)","14500 block of SW 24th St",0,0,0,1,0,N/A
2853796,"March 15, 2024",Wisconsin,Milwaukee,"N 46th St and W Glendale Ave",0,1,0,0,1,N/A
2854622,"March 15, 2024",Illinois,Chicago,"3100 block of N Normandy Ave",0,1,0,0,0,N/A
2854620,"March 15, 2024",Illinois,Chicago,"1700 block of W 95th St",1,0,0,0,0,N/A
2853945,"March 15, 2024",Louisiana,"Baton Rouge","5236 Bluewater Dr",2,0,0,1,1,N/A
2854591,"March 15, 2024",California,Oakland,"3800 Coolidge Ave",0,1,0,0,0,N/A
2854577,"March 15, 2024",Colorado,Aurora,"14600 block of E Second Ave",1,0,0,1,4,N/A
2854553,"March 15, 2024",Michigan,Detroit,"Van Dyke Ave and Outer Dr E",0,1,0,0,0,N/A
2854005,"March 15, 2024",Minnesota,Minneapolis,"Chicago Ave and E 41st St",0,1,0,0,0,N/A
2854537,"March 15, 2024",Massachusetts,Chelsea,"1014 Revere Beach Pkwy",0,1,0,0,0,N/A
2854497,"March 15, 2024",Louisiana,Shreveport,"W Canal St",0,1,0,0,1,N/A
2854416,"March 15, 2024","New York",Rochester,"Pullman Ave and Sunrise St",0,1,0,0,0,N/A
2854472,"March 15, 2024",California,"Los Angeles","8648 Morehart Ave",0,1,0,0,0,N/A
2854408,"March 15, 2024",Tennessee,Memphis,"3000 block of Beaumont Ave",0,2,0,0,0,N/A
2854451,"March 15, 2024",Indiana,Indianapolis,"3900 block of Ireland Dr",1,0,0,0,0,N/A
2854398,"March 15, 2024","New York",Brooklyn,"1778 Fulton St",0,2,0,0,0,N/A
2854445,"March 15, 2024",Indiana,Bloomington,"2300 block of S Rogers St",0,1,0,0,0,N/A
2854422,"March 15, 2024","New York","New York (Manhattan)","E 125th St and Lexington Ave",0,1,0,0,0,N/A
2854418,"March 15, 2024",Kentucky,Louisville,"5300 block of Pavilion Way",0,1,0,0,0,N/A
2854411,"March 15, 2024","New York",Rochester,"Delamaine Dr",0,0,0,0,0,N/A
2853552,"March 14, 2024",Georgia,Lawrenceville,"1300 block of Ivey Pointe Dr",0,1,0,0,1,N/A
2853667,"March 14, 2024",Ohio,Toledo,"3400 block of Maher St",1,1,0,0,1,N/A
2854367,"March 14, 2024",Ohio,Toledo,"100 block of Bloomfield Ave",0,1,0,0,1,N/A
2853540,"March 14, 2024",Maryland,Baltimore,"1901 Delvale Ave",0,0,0,0,1,N/A
2853103,"March 14, 2024",Florida,Sebring,"4200 Sun N Lake Blvd",1,0,1,0,0,N/A
2853211,"March 14, 2024",Illinois,Joliet,"300 block of Republic Ave",0,0,0,0,1,N/A
2854353,"March 14, 2024",Tennessee,Memphis,"2678 Getwell Rd",0,1,0,0,0,N/A
2854323,"March 14, 2024",California,Fresno,"3848 N Hughes Ave",0,3,0,0,0,N/A
2854318,"March 14, 2024",Mississippi,Coila,N/A,1,0,0,0,1,N/A
2854301,"March 14, 2024",California,Fresno,"1475 E Bulldog Ln",1,0,0,0,0,N/A
2853492,"March 14, 2024",Maryland,Baltimore,"600 block of N Glover St",0,1,0,0,0,N/A
2853381,"March 14, 2024",Ohio,"Yellow Springs","600 block of S High St",0,1,0,0,0,N/A
2854278,"March 14, 2024",Texas,"San Antonio","W Hausman Rd and N Loop 1604",0,1,0,0,0,N/A
2853374,"March 14, 2024",Tennessee,Memphis,"1300 block of Quinn Ave",1,3,0,1,2,N/A
2853398,"March 14, 2024",Tennessee,Memphis,"1600 block of Amarillo St",0,3,0,0,0,N/A
2853379,"March 14, 2024",Tennessee,Memphis,"3500 block of Wingood Cir",1,0,0,0,0,N/A
2853317,"March 14, 2024",Kentucky,Covington,"101 Promontory Dr",0,0,1,0,0,N/A
2854169,"March 14, 2024",Texas,Lubbock,"1300 block of 65th Dr",1,0,0,0,1,N/A
2853313,"March 14, 2024",California,Oakland,"8401 International Blvd",0,1,0,0,0,N/A
2853295,"March 14, 2024",Minnesota,"Saint Paul (New Brighton)","200 block of Old Hwy 8 NW",0,1,0,0,0,N/A
2853675,"March 14, 2024",Tennessee,Nashville,"I-24 and Haywood Ln",0,1,0,0,0,N/A
2853253,"March 14, 2024",Massachusetts,Ashby,"Richardson Rd",0,1,0,0,0,N/A
2853498,"March 14, 2024",Maryland,"Middle River","9600 block of Pulaski Hwy",2,0,0,0,0,N/A
2854057,"March 14, 2024",Louisiana,"Baton Rouge","Plank Rd",0,1,0,0,0,N/A
2854052,"March 14, 2024","South Dakota","Sioux Falls","800 block of N Dakota Ave",0,1,0,0,0,N/A
2853240,"March 14, 2024",Massachusetts,"Fall River","100 Rock St",1,0,0,0,0,N/A
2854043,"March 14, 2024",Louisiana,Alexandria,"Broadway Ave and 8th St",0,1,0,0,0,N/A
2853212,"March 14, 2024","New York",Bronx,"E 163rd St and Kelly St",0,1,0,0,0,N/A
2854715,"March 14, 2024",California,"San Jose",N/A,0,1,0,0,0,N/A
2853169,"March 14, 2024","South Carolina",Columbia,"3744 Montgomery Ave",0,0,0,1,2,N/A
2853177,"March 14, 2024",Colorado,Aurora,"14700 block of E 40th Ave",1,0,0,0,1,N/A
2853311,"March 14, 2024",Michigan,Irons,"W 9 Mile Rd and N Irons Rd",0,0,0,1,0,N/A
2853155,"March 14, 2024",California,Oakland,"1400 block of 17th Ave",0,1,0,0,0,N/A
2853056,"March 14, 2024",Texas,Dallas,"3200 block of Easter Ave",0,1,0,0,1,N/A
2853902,"March 14, 2024",Minnesota,"Saint Paul","1300 block of Wilson Ave",1,0,0,0,0,N/A
2853897,"March 14, 2024",Pennsylvania,Philadelphia,"4500 block of N 20th St",0,1,0,0,0,N/A
2853895,"March 14, 2024",Pennsylvania,Philadelphia,"800 block of W Indiana Ave",0,1,0,0,0,N/A
2853885,"March 14, 2024",Indiana,Evansville,"1600 block of S Morton Ave",1,0,0,0,1,N/A
2853880,"March 14, 2024",California,"Los Angeles","W 4th St and S Westmoreland Ave",0,1,0,0,0,N/A
2853218,"March 14, 2024","New York",Brooklyn,"Hoyt St and Schermerhorn St",0,0,0,1,0,N/A
2853227,"March 14, 2024","North Carolina",Charlotte,"4515 Tanager Park Dr",1,0,0,0,0,N/A
2853839,"March 14, 2024","North Carolina","Chapel Hill","1860 Martin Luther King Jr Blvd",0,1,0,0,0,N/A
2853835,"March 14, 2024",Florida,Orlando,"Livewood Oaks Dr and Redwood Oaks Dr",0,1,0,0,0,N/A
2853814,"March 14, 2024","North Carolina",Laurinburg,"Samoa St and Wagram St",0,1,0,0,0,N/A
2853806,"March 14, 2024",Missouri,"Kansas City","6709 Blue Ridge Blvd",0,1,0,0,0,N/A
2853802,"March 14, 2024",Florida,Jacksonville,"2000 W 16th St",0,1,0,0,0,N/A
2853359,"March 14, 2024",Florida,Chiefland,"NW 100th Ave",1,1,0,0,1,N/A
2853555,"March 14, 2024",Florida,Pensacola,"2800 block of N 9th Ave",1,0,0,0,1,N/A
2853277,"March 14, 2024",Wisconsin,Eagle,"S102W34603 Lower Clarks Park Rd",0,0,1,0,0,N/A
2853789,"March 14, 2024",Texas,Austin,"Pecan Dr and Georgian Dr",0,1,0,0,0,N/A
2853779,"March 14, 2024",Missouri,"Kansas City","Gladstone Blvd and Smart Ave",0,0,0,1,0,N/A
2853773,"March 14, 2024",Louisiana,"New Orleans","1900 block of Saint Thomas St",0,1,0,0,0,N/A
2853767,"March 14, 2024",Louisiana,"New Orleans",N/A,0,1,0,0,0,N/A
2853765,"March 14, 2024",Louisiana,"Baton Rouge","5400 block of Byron Ave",1,0,0,0,0,N/A
2853754,"March 14, 2024",Nevada,"North Las Vegas","1900 block of Solana Del Norte Way",1,0,0,0,0,N/A
2853031,"March 14, 2024",Mississippi,Jackson,"2500 block of Oak Grove Ln",1,0,0,0,1,N/A
2853735,"March 14, 2024",Colorado,"Commerce City","7000 block of Garden Ln",0,0,0,1,0,N/A
2853026,"March 14, 2024",Indiana,Indianapolis,"1436 Prospect St",1,0,0,0,0,N/A
2854166,"March 14, 2024",Oregon,Gresham,"3100 block of NE Cleveland Ave",0,1,0,0,1,N/A
2852995,"March 14, 2024",Illinois,Chicago,"300 block of S Michigan Ave",0,1,0,0,1,N/A
2853818,"March 14, 2024",Washington,"Royal City","100 block of Grape Dr NW",0,1,1,0,0,N/A
2853732,"March 14, 2024",Illinois,Chicago,"4700 block of S Lowe Ave",0,1,0,0,0,N/A
2853730,"March 14, 2024",Illinois,Chicago,"1100 block of N Central Ave",0,1,0,0,0,N/A
2853160,"March 14, 2024",Washington,Yakima,"Budwalda Ln and Thornton Ln",0,0,0,1,1,N/A
2852984,"March 14, 2024",Illinois,Chicago,"5500 block of S Talman Ave",0,1,0,0,0,N/A
2854569,"March 14, 2024",Illinois,"East Saint Louis","1500 block of N 45th St",1,0,0,0,0,N/A
2853726,"March 14, 2024",Illinois,Chicago,"2100 block of N LeClaire Ave",0,1,0,0,0,N/A
2853653,"March 14, 2024",Ohio,Dayton,"1600 block of Miami Chapel Rd",2,0,0,0,0,N/A
2853457,"March 14, 2024",Ohio,Akron,"2100 block of 19th St SW",0,0,1,1,1,N/A
2853127,"March 14, 2024",Hawaii,Waianae,"89-102 Farrington Hwy and Nanakuli Ave",0,1,0,0,0,N/A
2853705,"March 14, 2024",Louisiana,Shreveport,"Normandie Dr",0,1,0,0,0,N/A
2853693,"March 14, 2024",Louisiana,"New Orleans","400 block of S Saint Patrick St",1,0,0,0,0,N/A
2853620,"March 14, 2024",Louisiana,"Baton Rouge","1900 block of Rhodes Ave",0,1,0,0,0,N/A
2853216,"March 14, 2024","New York","Corona (Queens)","Jamaica Ave and 205th St",0,1,0,0,0,N/A
2854442,"March 14, 2024",California,"Pico Rivera","9300 block of Slauson Ave",1,0,0,0,0,N/A
2853841,"March 14, 2024",Texas,Beaumont,"2900 block of S 8th St",0,1,0,0,1,N/A
2853581,"March 14, 2024",Georgia,Atlanta,"Fulton St SW and Whitehall Ter SW",0,1,0,0,0,N/A
2853538,"March 13, 2024",Pennsylvania,Philadelphia,"5300 block of Lansdowne Ave",0,1,0,0,0,N/A
2853534,"March 13, 2024",Pennsylvania,Philadelphia,"6800 block of Algon Ave",1,0,0,0,0,N/A
2852768,"March 13, 2024",Kentucky,Louisville,"N 31st St and Bank St",0,1,0,0,0,N/A
2852770,"March 13, 2024",Washington,Seattle,"10504 Aurora Ave N",1,0,0,0,0,N/A
2853523,"March 13, 2024",Ohio,Cleveland,"5800 block of Prosser Ave",1,0,0,0,0,N/A
2853501,"March 13, 2024","New Jersey","East Orange","2 Soverel Terrace",1,0,0,0,0,N/A
2852750,"March 13, 2024",Louisiana,Shreveport,N/A,0,2,0,0,0,N/A
2852727,"March 13, 2024",Tennessee,Memphis,"800 block of Par Ave",0,1,0,0,0,N/A
2851963,"March 13, 2024",Louisiana,Shreveport,"Saint Vincent Ave and Clanton St",2,0,0,0,0,N/A
2853302,"March 13, 2024","North Carolina","Winston Salem (Winston-salem)","Waughtown St",0,1,0,0,0,N/A
2852554,"March 13, 2024",Virginia,Norfolk,"1700 block of Campostella Rd",1,0,0,0,1,N/A
2852489,"March 13, 2024",Tennessee,Chattanooga,"7700 block of Lee Hwy",0,1,0,0,0,N/A
2853478,"March 13, 2024","North Carolina",Aulander,"1500 block of Hexlena Rd",1,0,0,0,0,N/A
2852498,"March 13, 2024",Wisconsin,Sheboygan,"2700 block of S 9th St",0,1,1,0,0,N/A
2853464,"March 13, 2024",Maryland,Baltimore,N/A,0,1,0,0,0,N/A
2852690,"March 13, 2024",Tennessee,Memphis,"4300 block of Sunnyslope Dr",1,0,0,0,0,N/A
2852844,"March 13, 2024",Massachusetts,Chicopee,I-391,1,1,0,0,0,N/A
2852677,"March 13, 2024",Ohio,Massillon,"3737 13th St SW",0,0,0,0,1,N/A
2852666,"March 13, 2024",Tennessee,Memphis,"7755 Winchester Road",1,0,0,0,0,N/A
2851959,"March 13, 2024",Illinois,Chicago,"200 block of W 109th Pl",2,0,0,0,0,N/A
2854235,"March 13, 2024",Texas,"San Antonio","1946 SW Military Dr",1,0,0,0,0,N/A
2853357,"March 13, 2024",Arkansas,Jacksonville,"701 Poplar St",0,1,0,0,0,N/A
2852634,"March 13, 2024","New York",Bronx,"1051 College Ave",0,1,0,0,0,N/A
2852116,"March 13, 2024","New Mexico",Albuquerque,"300 block of Pennsylvania St NE",1,0,0,0,0,N/A
2852609,"March 13, 2024",Virginia,Richmond,"3500 block of E Richmond Rd",0,2,0,0,0,N/A
2852607,"March 13, 2024","New Mexico",Albuquerque,"2107 Menaul Blvd",1,0,0,0,0,N/A
2853330,"March 13, 2024",Connecticut,Litchfield,"White Wood Rd",1,0,0,0,0,N/A
2853319,"March 13, 2024",Michigan,Detroit,"Santa Rosa Dr and Eight Mile Rd",0,1,0,0,0,N/A
2852576,"March 13, 2024",Texas,"San Antonio","1100 block of Colima St",0,1,0,0,0,N/A
2853236,"March 13, 2024",Tennessee,Jamestown,"200 block of N Smith St",0,0,1,0,0,N/A
2852562,"March 13, 2024",California,"Woodland Hills","23356 Collins St",0,1,0,0,0,N/A
2852552,"March 13, 2024",California,"Los Angeles (Watts)","E 105th St and Anzac Ave",0,1,0,0,0,N/A
2852324,"March 13, 2024","North Carolina",Charlotte,"1704 Harris Houston Rd",0,2,0,0,0,N/A
2853275,"March 13, 2024",Tennessee,Memphis,"3300 block of Castleman St",1,0,0,0,0,N/A
2853484,"March 13, 2024",Maryland,Baltimore,"1500 block of E 28th St",1,0,0,0,0,N/A
2852540,"March 13, 2024",Illinois,Chicago,"700 block of E 106th Pl",0,1,0,0,0,N/A
2852537,"March 13, 2024",Texas,Midland,"3600 block of Bankhead Hwy",0,0,0,1,0,N/A
2853271,"March 13, 2024",Tennessee,Antioch,"2000 block of Antioch Pike",0,1,0,0,0,N/A
2852636,"March 13, 2024","New York",Buffalo,"56 Sprenger Ave",0,2,0,0,0,N/A
2852514,"March 13, 2024",Ohio,Youngstown,"3600 block of Hudson Ave",0,1,0,0,0,N/A
2853229,"March 13, 2024","North Carolina",Charlotte,"540 Pressley Rd",0,0,0,1,0,N/A
2852452,"March 13, 2024",Texas,Houston,"8727 Point Park Dr",0,2,0,1,1,N/A
2852477,"March 13, 2024",Tennessee,Nashville,"Tropic Isle Ct",0,1,0,0,0,N/A